true,pred,confidence,text,reason
refund_request,app_bug,0.273,I am writing to vehemently protest and shine light to the outrageous and unjustified closure of my PNC Bank checking account. My two-year h…,vague app wording
billing_problem,refund_request,0.251,"So i opened this account in the fall BMO banking, didnt have any issues until XX/XX/2021 i received a promo incentive from bmo apparently i…",vague app wording
billing_problem,other,0.276,"CAPITAL ONE AMOUNT FOR XXXX, THEY OPENED FRAUDENTLY, THE ACCOUNT IS NOT BELONG TO ME",low confidence
refund_request,billing_problem,0.873,On my Chase Credit Card Statement : opening/closing dates XXXX I had an Interest Saving Balance of {$720.00} Consequently on XX/XX/year> I …,refund vs billing overlap
delivery_issue,app_bug,0.415,I opened a new FIFTH THIRD MOMENTUM SAVINGS and CHECKING accounts on XX/XX/XXXX.  Link for the promotion https : //www.53.com/content/fifth…,weak delivery cues
delivery_issue,app_bug,0.314,"On XX/XX/year> I received an email stating "" Your Chime Visa Debit Card has been shipped to you. A bright green envelope should arrive in a…",vague app wording
app_bug,billing_problem,0.81,"On XX/XX/XXXX, I applied for a XXXX XXXX XXXX store card through Comenity bank and I was approved for a limit of {$15000.00} and a promotio…",refund vs billing overlap
refund_request,billing_problem,0.285,I am a Venture X card holder with a {$390.00} annual fee. I pay this fee and prioritize this card for purchases ( over using cash or debit …,vague app wording
other,refund_request,0.339,"I deposited a rent relief check in the amount of {$22000.00} into my friends account, and the bank put a hold on her account because of it.…",low confidence
other,billing_problem,0.328,Had this account since XXXX and did not miss one payment ... ... I explained to the company Synchrony Bank in XXXX that I ran into financia…,low confidence
refund_request,billing_problem,0.33,"In early XX/XX/XXXX, I placed an order through XXXX for a triple-stack bird cage ( {$410.00} ), paid via PayPal using my XXXX credit card. …",refund vs billing overlap
other,app_bug,0.334,"Good day, Today, XX/XX/2019, US based virtual currency exchange XXXX announced it was proceeding to an haircut of 16.202 % on the balance o…",vague app wording
app_bug,refund_request,0.4,someone had been draining my way2 card for child support the months one XXXX  and XXXX  until i notice XXXX XXXX when my purchase was decli…,refund vs billing overlap
other,billing_problem,0.453,I've been an upstanding JCPenney customer for years with a credit limit of {$700.00} and I've always paid my bill on time and my purchases …,low confidence
refund_request,billing_problem,0.39,"Hello, Ive been a member with Wells Fargo since XX/XX/XXXX, and as of today I NO LONGER want to bank with them. Wells Fargo is constantly c…",refund vs billing overlap
app_bug,billing_problem,0.39,"I have power of attorney for my brother who holds this c/c. I have complete financial control. For more than a year, I have not been able t…",vague app wording
app_bug,refund_request,0.256,"To whom it may concern : There is someone stealing from my bank accounts at Wells Fargo, XXXX XXXX, and the XXXX XXXX XXXX XXXX. They are u…",vague app wording
refund_request,billing_problem,0.323,This is XXXX XXXX XXXX Credit card account holder # XXXX company name is XXXX XXXX Ring XXXX XXXX.  I closed that account back in XX/XX/201…,refund vs billing overlap
app_bug,billing_problem,0.374,"I signed up for the Chase XXXX card a year ago, and paid the first annual fee because of the advertised 2 free nights. However, when I logg…",vague app wording
app_bug,refund_request,0.297,"My phone, purse, and wallet were stolen/lost. I noticed quite a few XXXX XXXX transactions on my Chase banking checking account and filed t…",low confidence
app_bug,refund_request,0.219,"I signed up for help with Optima Advocates 2 and half years ago, XX/XX/2018. I paid them for their services and for two years I have to beg…",low confidence
billing_problem,refund_request,0.231,RE : Bank of America XXXX XXXX about a XXXX fraudulent charge made to my Bank of America credit card XXXX in XXXX  To Whom it May Concern a…,refund vs billing overlap
other,billing_problem,0.337,Hello Dear CFPB I have XXXX Reward with Barclays Company since XX/XX/2013 and with limit XXXX and wanted to have credit limit increase but …,low confidence
billing_problem,refund_request,0.297,XX/XX/XXXX I opened an account with you folk approximately 2 months ago and funded it through transfers {$1400.00} and {$600.00} respective…,vague app wording
billing_problem,app_bug,0.318,"Capital One XXXXXXXX XXXX XXXX, XXXX, CA XXXX REQUEST FOR REMOVAL AS AUTHORIZED USER OF CREDIT CARD A/C TITLE CAPITAL ONE, ACCOUNT NO. XXXX…",vague app wording
billing_problem,app_bug,0.394,"On XX/XX/2016, I applied for and was approved for an XXXX XXXX XXXX card. The offer for which I applied and was approved for offered a XXXX…",vague app wording
app_bug,billing_problem,0.549,I purchased items online from XXXX XXXXXXXX XXXX. When checking out noticed a XXXX XXXX  offer to pay monthly installment without realizing…,low confidence
other,app_bug,0.415,"This is in reference to recovering my XXXX XXXX XXXX from BinanceUS ( dba BAM Trading Services ), which is wroth around {$430000.00}!!! It'…",vague app wording
app_bug,billing_problem,0.999,Iam filing a complaint regarding multiple overdraft fees app lied to my account. Despite having sufficient funds at the time the transactio…,vague app wording
app_bug,billing_problem,0.267,"I had a credit card issued by my credit union. Since the credit limit was so small, i almost never used it and it was sitting in my safe fo…",low confidence
refund_request,billing_problem,0.546,"I am filing a complaint against JPMorgan Chase Bank, N.A. regarding two separate sets of unauthorized charges on my business checking accou…",refund vs billing overlap
refund_request,billing_problem,0.366,"I met with a Chase banker, XXXX and then XXXX XXXX, on XXXX XXXX XXXX CT branch. And he assured me that as a private client, I would NOT be…",refund vs billing overlap
other,refund_request,0.359,I received a deposit in 2021 for a XXXX XXXX. U.S Bank froze my account and as of recently asked me do I want to keep account activated whi…,vague app wording
other,billing_problem,0.314,We have had a Citi Master Card for many years and are Charter Members. However we have had our credit card used fraudulently on 3 separate …,vague app wording
app_bug,refund_request,0.439,"PayPal Case ID : XXXX Disputed amount : {$890.00} USD Buyer info : XXXX XXXX Shipping address : XXXX XXXX XXXX XXXX XXXX, VA XXXX Date XXXX…",refund vs billing overlap
other,app_bug,0.236,Looked at my deposit this morning and it is not accurate ... Rushcard deposiy only XXXX into my account when it should have been XXXX I hav…,low confidence
refund_request,billing_problem,0.314,i had unauthorized transactgions on XX/XX/2021 frfom XXXX for XXXX. i also had requested for a refund for XX/XX/XXXX at the XXXX  airport f…,vague app wording
refund_request,billing_problem,0.294,"I purchased a {$50.00} gift card for XXXX gas stations, and I purchased it through Affirm.   The original purchase took place on XX/XX/year…",refund vs billing overlap
billing_problem,app_bug,0.394,"On XX/XX/XXXX I purchased {$1000.00} of XXXX on blockchain.com, an app that offers XXXX  investments, To this day, XX/XX/XXXX my {$1000.00}…",vague app wording
other,billing_problem,0.24,"At the end of XX/XX/2023, I received over 32 letters of "" claims '' that were filed, in which I did not request or authorize. During this t…",low confidence
refund_request,billing_problem,0.322,"Balance went down for a month, they charged me 3 times. Called multiple times never got back to me. Also said they will refund but never di…",refund vs billing overlap
billing_problem,app_bug,0.247,It started with a solicitation through discord that BTC was available through redemption Then I was informed that I would need to activate …,low confidence
refund_request,app_bug,0.317,Serve is a prepaid credit card provided by american express. I've been struggling to use this product for months but it just keeps getting …,low confidence
billing_problem,refund_request,0.321,"I had sent a Western Union transfer in the amount of XXXX USD to my own bank account in XXXX. I was promised a rate of XXXX per USD, but on…",low confidence
refund_request,billing_problem,0.314,I pay my mortgage through CapitalOne direct pay monthly. I received a call from a debt collector informing me that my XX/XX/year> mortgage …,refund vs billing overlap
billing_problem,refund_request,0.339,I hired a contractor to patch up my roof. Got the information from XXXX ( XXXX XXXX XXXX  ) I paid him in two transactions XX/XX/XXXX {$270…,refund vs billing overlap
refund_request,billing_problem,0.342,I am not receiving my reversal credits back from XXXX or XXXX on my way2go card for child support payments. I am owed over XXXX dollars in …,refund vs billing overlap
app_bug,refund_request,0.277,"My accounts, checking and savings accounts, were both recently flagged for fraud and closed on the very same day without any explanation wh…",vague app wording
other,refund_request,0.362,I was scammed out of {$2100.00}. A scammer posed as an employer XXXX XXXX XXXX XXXX XXXX XXXX on XXXX which looked completely legit using a…,vague app wording
app_bug,billing_problem,0.248,"Zip has repeatedly blocked my access to my account over the past 3 years, despite promises that their system had been fixed, they would not…",vague app wording
app_bug,billing_problem,0.324,On XX/XX/2019 I reported 16 fraudulent debit card transactions made using my Debit Card to Citibank. I was provided Dispute ID # XXXX. On X…,weak delivery cues
other,billing_problem,0.339,I applied and was approved for a Home Depot credit card through Citi on X/XX/2017. The credit limit was {$8000.00}. Within 3 hours of being…,vague app wording
other,refund_request,0.242,I have three frozen bank accounts from them not direct depositing any money for the XXXX  XXXX at XXXX XXXXXXXX XXXX and being more XXXX XX…,low confidence
delivery_issue,refund_request,0.286,I went to HSBC and because Im glad she judged me and refused to give me my funds.Im XXXX XXXX. Basically I go to HSBC Monday the XX/XX/XXXX…,vague app wording
billing_problem,refund_request,0.312,"On XX/XX/2018 about XXXX XXXX I visited an ATM machine located at XXXX XXXX, XXXX XXXX NV XXXX at XXXX XXXX XXXX XXXX XXXX XXXX, NV, XXXX t…",low confidence
other,refund_request,0.289,Chase bank has denied a claim for fraud on services not rendered. For a claim that is {$1200.00}. I didnt receive the services and they don…,low confidence
delivery_issue,refund_request,0.358,I have been working with Chase for two months already with a wire fraud on my account. I called Chase on XX/XX/XXXX to make a claim about {…,weak delivery cues
other,refund_request,0.252,"Email associated with the account - XXXX On XX/XX/2025, PayPal unexpectedly limited access to my business account and placed a hold on my f…",low confidence
billing_problem,app_bug,0.286,I believed I was purchasing 10 APC units from someone online for us to resell. I was sent an invoice with a payment link for a total of {$3…,low confidence
delivery_issue,billing_problem,0.363,The credit card I am having trouble with is the Citi VISA card associated with COSTCO. For the past two months they have delayed processing…,low confidence
refund_request,other,1.0,"Despite using Zelle numerous times and reporting discrepancies, my financial institution and Zelle failed to investigate my claims adequate…",mixed or ambiguous
billing_problem,refund_request,0.23,"At the end of XXXX, I received payments to my account between XX/XX/XXXX and XX/XX/XXXX. I later used them to pay off personal debts and se…",low confidence
app_bug,billing_problem,0.39,I subscribed to XXXX app on my XXXX XXXX for a 30 day free trial. At the end of the trial I did n't want the service so I tried to cancel t…,vague app wording
billing_problem,app_bug,0.527,"On XX/XX/XXXX, I called Chase asked to put account in billing error for {$13000.00}. According to 12 CFR 1026.13 I should not see any adver…",low confidence
other,app_bug,0.431,"CFPB, On XX/XX/2023 I, XXXX XXXX XXXX protected consumer applied for an American Express XXXX XXXX and Was Denied Access To My Consumer Cre…",vague app wording
delivery_issue,app_bug,0.305,I did not receive my direct deposit on XX/XX/year> and I check with my employer and all the information is correct. I tried to contact Capi…,low confidence
app_bug,other,0.274,i have been a victim of identity theft and have been working on this for several months. I have been disputing an account on my credit repo…,low confidence
refund_request,billing_problem,0.492,I placed a custom order with the company Excel XXXX billed on XXXX/XXXX/16 for {$260.00}. I received the items ( pins ) and they were darke…,refund vs billing overlap
app_bug,billing_problem,0.251,On XX/XX/2020 I sent a wire to an account holder at TD bank I have sent a similar wire to TD bank using the identical information on 10 oth…,low confidence
billing_problem,app_bug,0.246,"My ex XXXX XXXX committed identity theft in my name. He took out credit cards, phones, and other electronics, made himself an authorized us…",vague app wording
app_bug,billing_problem,0.414,I took advantage of a promo offer from Shop Your Way Citi Credit Card that was between XX/XX/19 XXXX for 10 % off Online purchases. I made …,vague app wording
app_bug,billing_problem,0.551,"Today is XX/XX/XXXX. Based of the past five billing cycles, my next bill will likely be due on XX/XX/XXXX. I went online view how much I ow…",mixed or ambiguous
billing_problem,other,0.357,"Under the Federal Reporting Act, this creditor has violated my rights.  Under 15 USC 1681 Section 602 states I have the right to privacy, o…",vague app wording
other,billing_problem,0.279,"Im a XXXX  currently in residency with an annual income of {$72000.00}, a credit score of approximately XXXX, and over 10 years of establis…",vague app wording
app_bug,refund_request,0.423,I'm a PNC customer who is working internationally and sometimes I have to use an ATM. We have been reimbursed for ATM fees before but we re…,vague app wording
other,billing_problem,0.344,On XX/XX/year> I recieved a digital letter from Synchrony Bank who owns my Sam 's Club Credit card informing me that they had dropped my cr…,vague app wording
delivery_issue,app_bug,0.292,"I opened a Netspend account on XX/XX/XXXX, with the promotional offer : Earn {$200.00} when you Direct Deposit {$400.00} in 60 days.   I re…",vague app wording
billing_problem,refund_request,0.376,I created a personal PayPal account in XXXX which I used to make small purchases through XXXX for things like gifts for friends. Somehow wh…,vague app wording
billing_problem,refund_request,0.335,I had a unauthorised charge on my chase business account. The charge was XXXX dollars. I contacted chase and they gave me a XXXX temp credi…,low confidence
billing_problem,app_bug,0.35,I called to activate my Netspend prepaid card. The rep that can barely understand because of their accent being so thick tells me that I ha…,vague app wording
billing_problem,app_bug,0.35,"As a Platinum Card holder, I was denied access to several AMEX and its partner lounges at the XXXX and XXXX XXXX on XX/XX/year> and XX/XX/y…",low confidence
delivery_issue,refund_request,0.257,At first card not received. XXXX resent but with withdrawals already made. Funds nearly depleted.,weak delivery cues
billing_problem,other,0.25,"In the complaint record numbered XXXX, I requested that my financial freedom be restricted and that my personal rights be returned in monet…",low confidence
app_bug,refund_request,0.311,"I wasn't sure how to mark this, but initially this started as a scam text that addressed me by name pretending to be my boss at my newly st…",vague app wording
delivery_issue,app_bug,0.305,Like so many others I was offered a {$100.00} bonus for adding in {$10000.00} to my Goldman Sachs Marcus account and leaving it in the acco…,vague app wording
app_bug,billing_problem,0.382,Amazon Synchrony never issued me a physical card but I was able to order items from Amazon and I had several items on recurring automatic o…,refund vs billing overlap
other,refund_request,0.277,I went into the back on XX/XX/XXXX and deposited a check that was a donation from my employer in the amount of {$500.00} on that day the ba…,low confidence
app_bug,billing_problem,0.633,Hi I have a Macy 's store card. from XXXX XXXX. I am always on time in making payments and always used to pay full amount i have owed. Duri…,mixed or ambiguous
refund_request,billing_problem,0.329,"I received a "" thank you for your order '' e-mail from Swiss Colony company, although I never submitted an order. The customer service pers…",vague app wording
billing_problem,delivery_issue,0.235,Back in the late XX/XX/XXXX it was recommended that I open a self-directed Roth IRA account with XXXX XXXX. The bank set-up a bank account …,vague app wording
delivery_issue,refund_request,0.342,This is the second time Xoom did to me. They hold on to your money in the name of security and take a very long time to transfer! This is a…,low confidence
delivery_issue,refund_request,0.238,I deposited {$9500.00} cash into my U.S. bank checking account on XX/XX/2023 and suddenly my account was frozen. US bank told my account is…,low confidence
billing_problem,app_bug,0.394,"On Friday, XX/XX/XXXX at about XXXX, I was at home and received a call from the Wells Fargo XXXX XXXX XXXX XXXX XXXX XXXX XXXX The number c…",vague app wording
billing_problem,other,0.345,Zelle has been completely unhelpful in my dispute reports beginning in 2020 to recently. I was unsure of a few charges and they did not inv…,low confidence
app_bug,billing_problem,0.411,I opened a Money Market account and a checking account with Huntington Bank in XXXX due to their advertised promotions which were very ince…,low confidence
billing_problem,app_bug,0.31,I have sent you the information to the fraud department compliance on my account is in tact.   You should be receiving a lawsuit from me as…,low confidence
app_bug,billing_problem,0.336,"I am reaching out regarding Case ID XXXX, which was filed on XX/XX/2024. This claim was initiated because a credit that should have been is…",low confidence
app_bug,refund_request,0.322,Around summer of XXXX there was a fraud alert on our capital one joint checming account. Previous to this there was tins of frauf wbich we …,low confidence
app_bug,billing_problem,0.252,"I relocated my Business to XXXX Texas, XX/XX/XXXX and updated Wells Fargo Bank with the new information. XX/XX/XXXX, I had a payment for {$…",low confidence
app_bug,billing_problem,0.249,I have been with Wells Fargo with many years and purchased their Credit Defense Platinum program. Allowing me if need be help if on XXXX. U…,vague app wording
billing_problem,refund_request,0.251,I have used Venmo for my sons Social Security check every month for the last year starting in XX/XX/XXXX. I have never had an issue until X…,low confidence
billing_problem,app_bug,0.317,"My Ally Bank checking and savings accounts, as well as my joint checking and savings accounts with my husband ( XXXX accounts total ) have …",vague app wording
other,app_bug,0.272,"American Express offers XXXX miles for referring a friend to apply for a credit card. I referred 2 people, XXXX XXXX XXXX, XXXX, WI ( now X…",vague app wording
refund_request,app_bug,0.368,XX/XX/24 requested to open account with Bonus Offer provided Bonus Offer Code to Banker XXXX XXXX He said he would do everything he could t…,vague app wording
other,app_bug,0.306,"Santander Bank had a promotion for a {$150.00} bonus with opening a checking account. To qualify for the bonus, some terms must be met whic…",low confidence
app_bug,billing_problem,0.447,On XX/XX/XXXX I purchased an XXXX XXXX XXXX computer and the XXXX XXXX XXXX protection ( {$1400.00} ). This purchase occurred online as I w…,low confidence
billing_problem,refund_request,0.314,On XX/XX/XXXX I had woke up to see that my account had been withdrawn from without my consent. I woke up looked at my phone it had showed a…,low confidence
billing_problem,refund_request,0.261,"We deposited {$510.00} ( cash and check ) into a BB & T business checking account on XXXX XXXX, 2016 and have a copy of the receipt showing…",low confidence
other,billing_problem,0.291,On XX/XX/2020 I mailed 2 separate checks to USAA Savings Bank : a {$70.00} check for payment on one credit card and an {$80.00} check for p…,vague app wording
app_bug,billing_problem,0.438,"On XXXX XXXX, XXXX, I went to Lowes store XXXX to pay my credit card bill in full. I was instructed by the customer service counter to go t…",refund vs billing overlap
refund_request,billing_problem,0.426,After the last COVID check there was a transaction where negative balances were credited to XXXX  then debited from my account. After the n…,refund vs billing overlap
billing_problem,other,0.225,"Dear Executive office, Chase Bank mail code XXXX XXXX XXXX XXXX XXXX, OH XXXX   Re : Additional information to poof the funds deposited in …",low confidence
other,app_bug,0.245,"Ive received multiple emails from chime.com, and never applied.",vague app wording
other,refund_request,0.305,I first had the issue with Arvest bank releasing my funds to me that I deposited. Because of how they had instructed my mom and I to sign t…,vague app wording
app_bug,refund_request,0.425,"On XX/XX/XXXX, my XXXX account was hacked. A friend googled how to contact XXXX and sent a screen shot of a number to call. This was a fake…",refund vs billing overlap
billing_problem,app_bug,0.331,"TRUTH TO FACTS OF PAST TRANSACTION WITH FORD CREDIT A United States Principal Party in Interest, Citizen, signature, subscribed on a promis…",vague app wording
other,app_bug,0.24,"On XX/XX/XXXX date, I opened a Citi Regular Checking account because Citi Bank offers {$450.00} welcome bonus for new customers. My husband…",low confidence
app_bug,refund_request,0.275,-I opened the account on XXXX XXXX  2024 with {$14000.00}.  -I called on XXXX XXXX 2024 and added my spouse to the account.  -He added {$95…,vague app wording
refund_request,billing_problem,0.752,"On XX/XX/XXXX2024 I visited a XXXX XXXX office for a XXXX. The upfront payment, before insurance covered anything, was {$410.00}. This tran…",refund vs billing overlap
billing_problem,app_bug,0.552,Everytime I have an issue with a merchant and dispute the transaction for valid reasons Cash App denys the dispute. Today XX/XX/2023 I cont…,vague app wording
app_bug,billing_problem,0.388,"This was previously closed claiming "" we have investigated and found that the payment was stopped by the users bank '', I have provided doc…",vague app wording
delivery_issue,billing_problem,0.25,On XX/XX/XXXX I received an email that my checking account was being closed as of XX/XX/XXXX. It said because of activity that is inconsist…,vague app wording
app_bug,refund_request,0.27,I have no clue where The charge came from. Upon further investigation that I did myself The bank told me that the charge was made in XXXX  …,vague app wording
refund_request,billing_problem,0.425,I Purchased a set wave ( Antenna ) from XXXX did not realized it was a company in XXXX on XX/XX/2019 through my pay pal account. I filed a …,refund vs billing overlap
app_bug,refund_request,0.286,Sent in a check from our HELOC to pay off our capital one credit cards on XX/XX/year> but when we called on XX/XX/year> we were told the pa…,low confidence
refund_request,billing_problem,0.442,"I purchased a vacation from a telemarketer. Upon review of their available resorts, I requested cancellation/refund, clearly within their w…",refund vs billing overlap
app_bug,billing_problem,0.409,"On Sat. XX/XX/2023, I charged my PNC debit card {$41.00} at the business XXXX XXXX in XXXX, PA. This charge was correctly applied to my PNC…",low confidence
delivery_issue,other,0.214,Dear CFPB I am writing this letter to complain that XXXX credit cards treat users differently when credit cards are stolen and user informa…,low confidence
app_bug,billing_problem,0.375,"Capital One Bank keeps sending a general letter, refuses to answer my concerns and provides proven documents of their policies and procedur…",low confidence
delivery_issue,billing_problem,0.609,My very first card with Synchrony was a walmart card in XXXX. I had perfect payment history but at some point they didn't like that I wasn'…,vague app wording
other,billing_problem,0.275,I was out of the country and I saw that my credit card account closed. Someone XXXX closed my account due to much fraud in a short amount o…,vague app wording
other,refund_request,0.304,The Treasury/IRS sent {$1400.00} stimulus money to my Wells fargo checking account XXXX on XX/XX/2021. Wells still has not credited my acco…,low confidence
other,refund_request,0.282,I was contacted by what i thought was a XXXX XXXX employee and was told my account hsd been overdrawn and to send funds immediately XXXX/XX…,low confidence
billing_problem,app_bug,0.238,It doesnt really show on my credit app when this transaction happened but when I first saw it I thought it was a mistake because it would b…,vague app wording
refund_request,app_bug,0.273,Had money sent to me on XXXX. My account said click here to enroll and recieve money. No matter what I try it will not send the code. There…,low confidence
other,app_bug,0.296,I signed up for an American Express gold card with a XXXX bonus point offer after spending {$4000.00} in four months. More than 16 weeks af…,low confidence
app_bug,billing_problem,0.339,"On XX/XX/2021, I received an email from XXXX the issuer of XXXX XXXX XXXX about an offer where you receive {$30.00} in a form of statement …",low confidence
billing_problem,app_bug,0.281,"[ XXXX A XXXX ] [ XXXX XXXX XXXX XXXX, XXXX XXXXXXXX ] [ XXXX, Ga, XXXX ] [ XXXX ] [ XXXX ] Date : XXXX Navy Federal Credit Union [ XXXX XX…",vague app wording
app_bug,billing_problem,0.865,"On XX/XX/23, I was approved for an American Express business blue cash credit card after I applied to a 18 month 0 % interest rate balance …",vague app wording
billing_problem,other,0.257,Company : Chase Date : XX/XX/XXXX Amount : over {$70000.00} I have been a Chase customer for years. They just mailed me a letter to notify …,vague app wording
other,refund_request,0.403,I was involved in a bank scam. I met this girl and she seemed pretty nice enough to let my girlfriend and I stay over her place because at …,vague app wording
app_bug,billing_problem,0.261,I have XXXX different cards with Citi Bank for over XXXX  years of usage. Never an issue or payment problems. Recently I forgot about an ol…,vague app wording
delivery_issue,billing_problem,0.272,"Banco Popular promoted the XXXX credit card. Make one charge and receive XXXX points after one charge. On XX/XX/2019, I opened the card and…",low confidence
billing_problem,app_bug,0.402,"Coinbase "" disabled '' my account on  XX/XX/XXXX . I was given no reason why. I was asked to provide proof of my identiy and address. I imm…",low confidence
app_bug,billing_problem,0.379,"I applied for a second Wells Fargo credit card. The application was denied because I did not have on-time payments with Wells Fargo, and th…",vague app wording
refund_request,app_bug,0.294,"Wells Fargo Bank , N.A .  Customer Care Department XXXX. XXXX XXXX XXXX, NC XXXX Subject : Formal Complaint Racial Discrimination and Unjus…",low confidence
other,refund_request,0.282,"I was approved for a checking account with Suntrust bank on XX/XX/2020. A few days later, I received my Stimulus check from the government …",vague app wording
delivery_issue,refund_request,0.294,"[ Complaint Regarding TD Bank ] In XXXX I sent a check for my next month 's rent, and this check was cashed in XXXX. On XXXX XX/XX/year>, I…",vague app wording
other,app_bug,0.293,"I opened my account with no issue, received a payroll from my university with no issue, but I can not make a zelle transfer with only an am…",low confidence
app_bug,billing_problem,0.262,Consumer Financial Protection Bureau To Whom it may concern : Im contacting you to complain about a fraud that was done when someone paid f…,vague app wording
app_bug,refund_request,0.356,I was receiving unemployment. I was using their usbank reliacard. On XX/XX/XXXX I went to the m & t bank in XXXX PA. bank number XXXX. At X…,refund vs billing overlap
other,app_bug,0.305,"I have a card with Discover. A charge was declined today ( XXXX ), so I called them. Discover customer service told me my account was restr…",low confidence
delivery_issue,refund_request,0.257,I depoisted a check into my XXXX XXXX XXXXXXXX XXXX ON XXXX XXXX SINCE I RECENTLY OPENED MY ACCOUNT I WAS TOLD IT WOULD BE A HOLD OF FUNDS …,low confidence
app_bug,billing_problem,0.267,I am writing to dispute the presence of certain charge offs on my credit report. I believe that these closed account/charge offs have been …,low confidence
other,refund_request,0.329,"On XX/XX/24, I noticed that a check was presented to my checking account with Chase Bank for payment that I did not issue, the payment was …",low confidence
app_bug,refund_request,0.297,My PayPal account was permanently limited around XXXXXXXX XXXX and the funds inside were meant for XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX …,low confidence
other,delivery_issue,0.246,I opened an checking account in XX/XX/XXXX with Wells Fargo there was a bonus for new customers of {$100.00} after you met a few requiremen…,low confidence
other,billing_problem,0.274,I had what I believed to be a joint account with Capital One with my ex-husband. The account was opened in XXXX ( by me and using my e-mail…,vague app wording
billing_problem,delivery_issue,0.219,"This is the same case as prior, # XXXX. My name is XXXX XXXX. You sent me a link stating the bank had responded and that a letter was attac…",low confidence
app_bug,refund_request,0.321,"I have a Direct Express XXXX XXXX Comerica Bank XXXX, my Social Security XXXX money is loaded onto this card monthly. I had fraud on my car…",vague app wording
delivery_issue,billing_problem,0.266,"On XX/XX/2022, I used XXXX reward points to purchase XXXX gift cards : {$50.00} XXXX, {$50.00} XXXX XXXX and {$250.00} XXXX. Within XXXX we…",vague app wording
app_bug,billing_problem,0.292,"Account was charged {$97.00} late on XX/XX/XXXX, this put my account into the red.   I called on the XXXX, customer service was unable to d…",vague app wording
other,refund_request,0.413,"Hi my name is XXXX XXXX. I went to the branch were, I have my Checking Account. Had asked the associate that I needed a Cashier Check in th…",low confidence
app_bug,billing_problem,0.296,"Approximately on XX/XX/XXXX, Ally bank called me to ask if I just made a purchase for {$420.00} which I responded "" no '' and asked them to…",refund vs billing overlap
app_bug,billing_problem,0.335,"On XX/XX/2016, my accounts were closed by PNC bank branch located at XXXX, XXXX in XXXX in an unjust and unfair manner. This morning I met …",low confidence
app_bug,refund_request,0.425,My wife ( XXXX XXXX ) received settlement from XXXX XXXX XXXX in the amount of {$9000.00} She opted to have the funds sent through PayPal f…,vague app wording
app_bug,refund_request,0.341,Someone logged into my chime account and used $ XXXX in funds and I disputed 2 transactions as fraud and they denied my claim in less than …,low confidence
app_bug,refund_request,0.415,I made a purchase on XXXX for an XXXX XXXX of {$400.00} and XXXX as a company is connected to XXXX for payment. I initially paid {$420.00} …,refund vs billing overlap
billing_problem,app_bug,0.293,"I verified my account through a selfie, providing my drivers license to the company. I deposited {$3000.00} to my account. Over a week or s…",low confidence
refund_request,app_bug,0.269,"Since XX/XX/XXXX, I have been working to secure reimbursement for the non-refundable portion of two XXXX XXXXs one way tickets ( XXXX XXXX …",vague app wording
other,refund_request,0.325,I was attempting to buy concert tickets from a listing on XXXX. He suggested to use XXXX since it was involved with the the major banks of …,low confidence
app_bug,billing_problem,0.442,On XX/XX/year>. I called Synchrony Bank the lender for the Car Care Credit Account I opened in XX/XX/year>. I spoke to XXXX at the XXXX num…,weak delivery cues
delivery_issue,billing_problem,0.25,"On XX/XX/XXXX, Barclay closed my Barclay Arrival MasterCard account and sent a letter indicating the following : "" We have recently conduct…",vague app wording
app_bug,billing_problem,0.276,XX/XX/ I made a purchase online at XXXX using my Chase Debit Card XXXX XXXX XXXX XXXX. The purchase was in the amount of {$72.00} XX/XX/ In…,vague app wording
other,delivery_issue,0.23,Chase did not issue a free night certificate to my account as promised in the letter attached. XXXX XXXX from their MO Customer Service pro…,low confidence
app_bug,refund_request,0.332,"In XXXX, I contacted PayPal after recieving an alert that my password had been changed. I had not changed my password and when I logged in,…",low confidence
refund_request,other,0.228,In XXXX of 2024 I opened a free checking and savings account with Navy Federal Credit Union. I received emails and a digital banking card. …,vague app wording
billing_problem,app_bug,0.362,I recently reached out to Apple/Goldman Sachs via chat. I reached out regarding a billing error as well as my open ended credit. To further…,refund vs billing overlap
delivery_issue,refund_request,0.302,I believe chase bank manipulated overdraft charges to stop me from being able to withdraw my stimulus check. Chase bank allowed roughly {$1…,weak delivery cues
other,refund_request,0.252,"A wire transfer was sent to Coinbase, inc. in the amount of XXXX via XXXX XXXX with the following information : Amount {$610.00} Sent on XX…",low confidence
billing_problem,refund_request,0.321,"I hired XXXX XXXX XXXX  XXXX to move me into my new home on XX/XX/21. I paid a {$170.00} deposit. Upon arrival, the employees walked in and…",vague app wording
other,refund_request,0.297,I had a checking acct for 3 years with b of a and had my paychecks direct deposited into this acct. This past year I helped my ex open an a…,low confidence
delivery_issue,app_bug,0.252,"Hello, I want to complain to the Capital One credit card embezzlement department and illegal operation. I applied for a credit card with a …",vague app wording
delivery_issue,refund_request,0.246,They closed my checking account for no reason.  I asked them via email how to settle my balance!  I suggested that they could settle my bal…,weak delivery cues
other,refund_request,0.296,I own a small business and made a purchase with a manufacturer in XXXX. I made the payment through Western Union and the funds were deposit…,low confidence
billing_problem,refund_request,0.237,I deposited a cashiers check at Chase bank and I tried to make a domestic wire to a crypto exchange to make interest on the money prior to …,vague app wording
